iter	Logloss
0	0.4790297325
1	0.3488696684
2	0.2418779183
3	0.175409524
4	0.1366885728
5	0.1074544919
6	0.08592998737
7	0.06829848397
8	0.05998589844
9	0.05285262631
10	0.04747239673
11	0.03589420033
12	0.02984593999
13	0.02635668731
14	0.02296538573
15	0.02086025621
16	0.01841926773
17	0.01555691851
18	0.01462389039
19	0.01189584923
20	0.01114010319
21	0.009945104473
22	0.008662782286
23	0.00839274543
24	0.00780445654
25	0.007460183267
26	0.006623228719
27	0.00567686011
28	0.00520348925
29	0.004962659392
30	0.004279416178
31	0.003980239806
32	0.003710043847
33	0.003603097492
34	0.003450605427
35	0.003138997223
36	0.003006394121
37	0.002854871384
38	0.002791764236
39	0.002464122522
40	0.002223118942
41	0.002089778701
42	0.001952773424
43	0.001888585536
44	0.001816973052
45	0.001763738211
46	0.001638015187
47	0.001512209376
48	0.001471882592
49	0.00136163568
50	0.001308815801
51	0.001262015503
52	0.001187730054
53	0.001148644296
54	0.001040106251
55	0.0009777226016
56	0.0009310250341
57	0.0009065657655
58	0.00087468104
59	0.00087468104
60	0.000833933324
61	0.0008242729422
62	0.0007824148919
63	0.0007645760885
64	0.0007470106797
65	0.0007220508332
66	0.0007220616844
67	0.0006957657855
68	0.0006591897254
69	0.000650715851
70	0.0006325672277
71	0.0006325672277
72	0.0006325122324
73	0.0006325618665
74	0.0006325618665
75	0.0006325560841
76	0.0006325485469
77	0.0006325114019
78	0.0006324806902
79	0.000592300564
80	0.0005922299445
81	0.0005922094231
82	0.0005922094231
83	0.0005789581989
84	0.0005789528058
85	0.0005789447476
86	0.0005789493612
87	0.0005789371964
88	0.0005789128391
89	0.0005788915191
90	0.0005696143875
91	0.0005696234998
92	0.0005696234998
93	0.0005696000198
94	0.000569600996
95	0.0005695902686
96	0.0005695902686
97	0.0005695734794
98	0.0005695852449
99	0.0005695852449
100	0.000554154881
101	0.0005541490557
102	0.0005541490557
103	0.0005541428451
104	0.0005541428451
105	0.0005418933963
106	0.000517569698
107	0.0005175612604
108	0.0005175612604
109	0.0005175591113
110	0.0005175591113
111	0.0005175527989
112	0.0005175538121
113	0.0005175498733
114	0.0005175509124
115	0.0005175530205
116	0.0005175366305
117	0.0005175184608
118	0.0005175184608
119	0.0005175112849
120	0.0005175015368
121	0.0005175048367
122	0.0005174895836
123	0.000517482258
124	0.0005174811151
125	0.0005043958521
126	0.0005044016465
127	0.0005043894638
128	0.0005043905579
129	0.0005043905579
130	0.0005043917946
131	0.0005043812599
132	0.0005043812599
133	0.0005043812599
134	0.0005043812599
135	0.0005043889159
136	0.0005043889159
137	0.000504391602
138	0.0005043875504
139	0.0005043811991
140	0.0005043811991
141	0.0005043863127
142	0.0005043863127
143	0.0005043887602
144	0.0005043906617
145	0.0005043936293
146	0.0005043893142
147	0.0005043931382
148	0.0005043984235
149	0.0005044059077
